sex,educ,cause,mx,age,year
Females,Higher,Congenital,2.1058940030829563e-6,46,2020-2021
Females,Higher,Congenital,2.626121224594298e-6,47,2016-2019
Females,Higher,Congenital,2.221895575154225e-6,47,2020-2021
Females,Higher,Congenital,2.770811883547086e-6,48,2016-2019
Females,Higher,Congenital,2.344314727736572e-6,48,2020-2021
Females,Higher,Congenital,2.9235247126323676e-6,49,2016-2019
Females,Higher,Congenital,2.4735212380972236e-6,49,2020-2021
Females,Higher,Congenital,3.0847237202934164e-6,50,2016-2019
Females,Higher,Congenital,2.6099076921904343e-6,50,2020-2021
Females,Higher,Congenital,3.2549016688231543e-6,51,2016-2019
Females,Higher,Congenital,2.7538910038844562e-6,51,2020-2021
Females,Higher,Congenital,3.434581998565268e-6,52,2016-2019
Females,Higher,Congenital,2.9059140429800454e-6,52,2020-2021
Females,Higher,Congenital,3.624320890536478e-6,53,2016-2019
Females,Higher,Congenital,3.0664473803436416e-6,53,2020-2021
Females,Higher,Congenital,3.824709488472403e-6,54,2016-2019
Females,Higher,Congenital,3.235991167924877e-6,54,2020-2021
Females,Higher,Congenital,4.036376574658264e-6,55,2016-2019
Females,Higher,Congenital,3.4150774027101004e-6,55,2020-2021
Females,Higher,Congenital,4.259991241458308e-6,56,2016-2019
Females,Higher,Congenital,3.6042721870366926e-6,56,2020-2021
Females,Higher,Congenital,4.496265367007625e-6,57,2016-2019
Females,Higher,Congenital,3.8041778232140796e-6,57,2020-2021
Females,Higher,Congenital,4.745956554992228e-6,58,2016-2019
Females,Higher,Congenital,4.01543530079823e-6,58,2020-2021
Females,Higher,Congenital,5.009871310725304e-6,59,2016-2019
Females,Higher,Congenital,4.238726983790442e-6,59,2020-2021
Females,Higher,Congenital,5.288868454373178e-6,60,2016-2019
Females,Higher,Congenital,4.474779498482579e-6,60,2020-2021
Females,Higher,Congenital,5.5838627902496536e-6,61,2016-2019
Females,Higher,Congenital,4.724366837955363e-6,61,2020-2021
Females,Higher,Congenital,5.895829052700663e-6,62,2016-2019
Females,Higher,Congenital,4.98831370059282e-6,62,2020-2021
Females,Higher,Congenital,6.225806133128671e-6,63,2016-2019
Females,Higher,Congenital,5.267499066462046e-6,63,2020-2021
Females,Higher,Congenital,6.5748936087064035e-6,64,2016-2019
Females,Higher,Congenital,5.5628532603446035e-6,64,2020-2021
Females,Higher,Congenital,6.944241170850465e-6,65,2016-2019
Females,Higher,Congenital,5.875349007432086e-6,65,2020-2021
Females,Higher,Congenital,7.335066880610011e-6,66,2016-2019
Females,Higher,Congenital,6.206016878754514e-6,66,2020-2021
Females,Higher,Congenital,7.748664659364467e-6,67,2016-2019
Females,Higher,Congenital,6.555951628872575e-6,67,2020-2021
Females,Higher,Congenital,8.18640918027783e-6,68,2016-2019
Females,Higher,Congenital,6.926316334414935e-6,68,2020-2021
Females,Higher,Congenital,8.649761086006863e-6,69,2016-2019
Females,Higher,Congenital,7.318346808650816e-6,69,2020-2021
Females,Higher,Congenital,9.140272555148919e-6,70,2016-2019
Females,Higher,Congenital,7.733356311122472e-6,70,2020-2021
